"","event_name","Date","Tickets","Season","Game_Number","Day","effective_day","O_Team","Time_Type2","Month","Weekend","School","start_of_homestand","end_of_homestand","Opening_Day","Holiday","Fourth_of_july","Final_Game","BobbleHead","replica","Day_In_Homestand","star_wars","concert","christian_concert","playoff_odds","delete","afternoon_weekday","afternoon_weekend","Week","weighted_odds","first_homestand","Time_Type"
"1","EZBB0329",2018-03-29,40208,2018,1,"THU","THU","Philadelphia Phillies",2,"Apr",0,1,1,0,1,0,0,0,0,0,1,0,0,0,3,0,1,0,13,3,1,2
"2","EZBB0330",2018-03-30,35123,2018,2,"FRI","FRI","Philadelphia Phillies",3,"Apr",1,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,13,8,1,3
"3","EZBB0331",2018-03-31,37777,2018,3,"SAT","SAT","Philadelphia Phillies",3,"Apr",1,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,13,9,1,3
"4","EZBB0402",2018-04-02,25054,2018,4,"MON","MON","Washington Nationals",3,"Apr",0,1,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,14,12,1,5
"5","EZBB0403",2018-04-03,26782,2018,5,"TUE","TUE","Washington Nationals",3,"Apr",0,1,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,14,15,1,5
"6","EZBB0404",2018-04-04,29834,2018,6,"WED","WED","Washington Nationals",1,"Apr",0,1,0,1,0,0,0,0,0,0,6,0,0,0,4,0,1,0,14,24,1,4
"7","EZBB0416",2018-04-16,17812,2018,7,"MON","MON","Philadelphia Phillies",3,"Apr",0,1,1,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,16,42,0,5
"8","EZBB0417",2018-04-17,17913,2018,8,"TUE","TUE","Philadelphia Phillies",3,"Apr",0,1,0,0,0,0,0,0,0,0,2,0,0,0,7,1,0,0,16,56,0,5
"9","EZBB0418",2018-04-18,22135,2018,9,"WED","WED","Philadelphia Phillies",3,"Apr",0,1,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,16,54,0,5
"10","EZBB0419",2018-04-19,23610,2018,10,"THU","THU","New York Mets",3,"Apr",0,1,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,16,80,0,5
"11","EZBB0420",2018-04-20,39016,2018,11,"FRI","FRI","New York Mets",3,"Apr",1,1,0,0,0,0,0,0,1,0,5,0,0,0,9,0,0,0,16,99,0,3
"12","EZBB0421",2018-04-21,41396,2018,12,"SAT","SAT","New York Mets",3,"Apr",1,1,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,16,96,0,3
"13","EZBB0422",2018-05-28,31779,2018,23,"MON","SUN","New York Mets",1,"May",0,1,1,0,0,1,0,0,0,0,1,0,1,0,25,0,1,0,22,575,0,4
"14","EZBB0504",2018-05-04,41807,2018,14,"FRI","FRI","San Francisco Giants",3,"May",1,1,1,0,0,0,0,0,0,0,1,1,0,0,22,0,0,0,18,308,0,3
"15","EZBB0505",2018-05-05,38264,2018,15,"SAT","SAT","San Francisco Giants",3,"May",1,1,0,0,0,0,0,0,0,0,2,0,0,0,18,0,0,0,18,270,0,3
"16","EZBB0506",2018-05-06,37896,2018,16,"SUN","SUN","San Francisco Giants",1,"May",1,1,0,1,0,0,0,0,0,0,3,0,0,0,15,0,0,1,18,240,0,1
"17","EZBB0515",2018-05-15,34452,2018,17,"TUE","TUE","Chicago Cubs",3,"May",0,1,1,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,20,425,0,5
"18","EZBB0516",2018-05-16,28264,2018,18,"WED","WED","Chicago Cubs",3,"May",0,1,0,0,0,0,0,0,0,0,2,0,0,0,23,0,0,0,20,414,0,5
"19","EZBB0517",2018-08-30,37603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","EZBB0518",2018-05-18,27705,2018,20,"FRI","FRI","Miami Marlins",3,"May",1,1,0,0,0,0,0,0,0,0,4,0,0,0,28,0,0,0,20,560,0,3
"21","EZBB0519",2018-05-19,37715,2018,21,"SAT","SAT","Miami Marlins",3,"May",1,1,0,0,0,0,0,0,0,0,5,0,0,0,25,0,0,0,20,525,0,3
"22","EZBB0520",2018-05-20,28352,2018,22,"SUN","SUN","Miami Marlins",1,"May",1,1,0,1,0,0,0,0,0,0,6,0,0,0,27,0,0,1,20,594,0,1
"23","EZBB0528",2018-05-28,32377,2018,23,"MON","SUN","New York Mets",1,"May",0,1,1,0,0,1,0,0,0,0,1,0,1,0,25,0,1,0,22,575,0,4
"24","EZBB0529",2018-05-29,19443,2018,24,"TUE","TUE","New York Mets",3,"May",0,1,0,0,0,0,0,0,0,0,2,0,0,0,25,0,0,0,22,600,0,5
"25","EZBB0530",2018-05-30,21449,2018,25,"WED","WED","New York Mets",3,"May",0,1,0,0,0,0,0,0,0,0,3,0,0,0,28,0,0,0,22,700,0,5
"26","EZBB0531",2018-05-31,22380,2018,26,"THU","THU","Washington Nationals",3,"May",0,0,0,0,0,0,0,0,0,0,4,0,0,0,23,0,0,0,22,598,0,5
"27","EZBB0601",2018-06-01,33845,2018,27,"FRI","FRI","Washington Nationals",3,"Jun",1,0,0,0,0,0,0,0,0,0,5,0,0,0,26,0,0,0,22,702,0,3
"28","EZBB0602",2018-06-02,39578,2018,28,"SAT","SAT","Washington Nationals",2,"Jun",1,0,0,0,0,0,0,0,0,0,6,0,0,0,32,0,0,1,22,896,0,2
"29","EZBB0603",2018-06-03,33132,2018,29,"SUN","SUN","Washington Nationals",1,"Jun",1,0,0,1,0,0,0,0,0,0,7,0,0,0,30,0,0,1,22,870,0,1
"30","EZBB0612",2018-06-12,29892,2018,30,"TUE","TUE","New York Mets",3,"Jun",0,0,1,0,0,0,0,0,0,0,1,0,0,0,28,0,0,0,24,840,0,5
"31","EZBB0613",2018-06-13,32015,2018,31,"WED","WED","New York Mets",1,"Jun",0,0,0,0,0,0,0,0,0,0,2,0,0,0,32,0,1,0,24,992,0,4
"32","EZBB0614",2018-06-14,25250,2018,32,"THU","THU","San Diego Padres",3,"Jun",0,0,0,0,0,0,0,0,0,0,3,0,0,0,36,0,0,0,24,1152,0,5
"33","EZBB0615",2018-06-15,41497,2018,33,"FRI","FRI","San Diego Padres",3,"Jun",1,0,0,0,0,0,0,0,1,0,4,0,0,0,40,0,0,0,24,1320,0,3
"34","EZBB0616",2018-06-16,41916,2018,34,"SAT","SAT","San Diego Padres",2,"Jun",1,0,0,0,0,0,0,0,0,0,5,0,0,0,35,0,0,1,24,1190,0,2
"35","EZBB0617",2018-06-17,40251,2018,35,"SUN","SUN","San Diego Padres",1,"Jun",1,0,0,1,0,0,0,0,0,0,6,0,0,0,40,0,0,1,24,1400,0,1
